Year,Month,name,value,Mortality
1998,12,standardised_lagged_Predicted_recruitment,0.3294622118992318,1
1999,12,standardised_lagged_Predicted_recruitment,0.5779882079685545,1
2000,12,standardised_lagged_Predicted_recruitment,0.4763266035376095,1
2001,12,standardised_lagged_Predicted_recruitment,0.6153296408790424,1
2002,12,standardised_lagged_Predicted_recruitment,0.7773807396819725,1
2003,12,standardised_lagged_Predicted_recruitment,1,1
2004,12,standardised_lagged_Predicted_recruitment,0.6848311595497589,1
2005,12,standardised_lagged_Predicted_recruitment,0.43916383777023404,1
2006,12,standardised_lagged_Predicted_recruitment,0.1118456315883509,1
2007,12,standardised_lagged_Predicted_recruitment,0.1384670359120958,1
2008,12,standardised_lagged_Predicted_recruitment,0.04859746292656779,1
2009,12,standardised_lagged_Predicted_recruitment,0.2051098802930141,1
2010,12,standardised_lagged_Predicted_recruitment,0.341254243344649,1
2011,12,standardised_lagged_Predicted_recruitment,0.3187421833124889,1
2012,12,standardised_lagged_Predicted_recruitment,0.19832052885474363,1
2013,12,standardised_lagged_Predicted_recruitment,0.06682151152403072,1
2014,12,standardised_lagged_Predicted_recruitment,0,1
2015,12,standardised_lagged_Predicted_recruitment,0.3133821690191175,1
2016,12,standardised_lagged_Predicted_recruitment,0.6794711452563874,1
2017,12,standardised_lagged_Predicted_recruitment,0.7412899767732715,1
2018,12,standardised_lagged_Predicted_recruitment,0.5894229051277471,1
2019,12,standardised_lagged_Predicted_recruitment,0.24620332320886193,1
2020,12,standardised_lagged_Predicted_recruitment,0.26996605324280865,1
2021,12,standardised_lagged_Predicted_recruitment,0.14454171877791674,1
1998,12,standardised_lagged_Predicted_recruitment,0.33365366134922164,2
1999,12,standardised_lagged_Predicted_recruitment,0.5852392850278686,2
2000,12,standardised_lagged_Predicted_recruitment,0.47011339611762454,2
2001,12,standardised_lagged_Predicted_recruitment,0.6163751681722084,2
2002,12,standardised_lagged_Predicted_recruitment,0.7772438977512973,2
2003,12,standardised_lagged_Predicted_recruitment,1,2
2004,12,standardised_lagged_Predicted_recruitment,0.6776859504132232,2
2005,12,standardised_lagged_Predicted_recruitment,0.4307130501633673,2
2006,12,standardised_lagged_Predicted_recruitment,0.10705362290985972,2
2007,12,standardised_lagged_Predicted_recruitment,0.13319238900634253,2
2008,12,standardised_lagged_Predicted_recruitment,0.03959254276379014,2
2009,12,standardised_lagged_Predicted_recruitment,0.19527195848548917,2
2010,12,standardised_lagged_Predicted_recruitment,0.3390351720161445,2
2011,12,standardised_lagged_Predicted_recruitment,0.31616375168172206,2
2012,12,standardised_lagged_Predicted_recruitment,0.19969248510474727,2
2013,12,standardised_lagged_Predicted_recruitment,0.06284835671727852,2
2014,12,standardised_lagged_Predicted_recruitment,0,2
2015,12,standardised_lagged_Predicted_recruitment,0.32058427830098024,2
2016,12,standardised_lagged_Predicted_recruitment,0.6844128387468769,2
2017,12,standardised_lagged_Predicted_recruitment,0.7416874879876996,2
2018,12,standardised_lagged_Predicted_recruitment,0.5821641360753412,2
2019,12,standardised_lagged_Predicted_recruitment,0.24005381510666923,2
2020,12,standardised_lagged_Predicted_recruitment,0.266384778012685,2
2021,12,standardised_lagged_Predicted_recruitment,0.13991927733999618,2
1998,12,standardised_lagged_Predicted_recruitment,0.32216250395194435,10
1999,12,standardised_lagged_Predicted_recruitment,0.5428390768257981,10
2000,12,standardised_lagged_Predicted_recruitment,0.3787543471387922,10
2001,12,standardised_lagged_Predicted_recruitment,0.6057540309832438,10
2002,12,standardised_lagged_Predicted_recruitment,0.810306670882074,10
2003,12,standardised_lagged_Predicted_recruitment,1,10
2004,12,standardised_lagged_Predicted_recruitment,0.6114448308567815,10
2005,12,standardised_lagged_Predicted_recruitment,0.3582042364843503,10
2006,12,standardised_lagged_Predicted_recruitment,0.08820739803983559,10
2007,12,standardised_lagged_Predicted_recruitment,0.11255137527663611,10
2008,12,standardised_lagged_Predicted_recruitment,0,10
2009,12,standardised_lagged_Predicted_recruitment,0.10211824217515018,10
2010,12,standardised_lagged_Predicted_recruitment,0.31868479291811574,10
2011,12,standardised_lagged_Predicted_recruitment,0.2927600379386658,10
2012,12,standardised_lagged_Predicted_recruitment,0.22858046158710088,10
2013,12,standardised_lagged_Predicted_recruitment,0.06133417641479609,10
2014,12,standardised_lagged_Predicted_recruitment,0.005058488776478062,10
2015,12,standardised_lagged_Predicted_recruitment,0.3120455263989883,10
2016,12,standardised_lagged_Predicted_recruitment,0.6089155864685424,10
2017,12,standardised_lagged_Predicted_recruitment,0.6674043629465697,10
2018,12,standardised_lagged_Predicted_recruitment,0.5431552323743282,10
2019,12,standardised_lagged_Predicted_recruitment,0.22699968384445143,10
2020,12,standardised_lagged_Predicted_recruitment,0.24091052797976606,10
2021,12,standardised_lagged_Predicted_recruitment,0.10844135314574772,10
