Event date Year,CPUE_mean,sd_CPUE,n,se_CPUE
2009,1.7349556873821042,3.194866352342623,449,0.15077506520656006
2010,2.24385756568643,11.420512982256604,616,0.46014558110261755
2011,1.9792426447184592,2.4799818161158607,760,0.08995839541483756
2012,2.381116327903471,3.1104022829008997,793,0.11045362365219415
2013,2.646173207875481,3.4464385194141194,1063,0.10570703790546895
2014,2.0113275790053193,1.9913376507117868,642,0.07859182813993751
2015,2.5822646800257676,1.9649425486724625,839,0.06783735034629873
2016,3.4528420802336433,2.752660254439669,924,0.09055587400284845
2017,3.2817489405324163,2.5764145892970154,736,0.09496790172799197
2018,3.1881193082058417,2.323082537806155,665,0.09008527687120817
2019,2.473976491359622,2.1326852593033765,756,0.07756501297043053
2020,1.913495203858313,1.8987411289186538,259,0.11798203309730383
