Calendar year,Tonnes,days effort,CPUE day_kg_day
1990,550.18816,2889,190.442423
1991,887.273,3610,245.7819945
1992,1358,4864,279.1940789
1993,2468.7041,9404,262.5163866
1994,3750.2829,18431,203.4769085
1995,3180.94364,14893,213.586493
1996,2914.31732,13706,212.630769
1997,3245.4105,14873,218.208196
1998,2061.54876,8782,234.747069
1999,1822.14953,7124,255.7761834
2000,2182.73483,9390,232.4531235
2001,1975.00265,8390,235.3996007
2002,1590.4027,7261,219.0335629
2003,1472.0194,6410,229.6442122
2004,1542.7523,6057,254.7056794
2005,1549.5937,5436,285.0613871
2006,1416.34386,4510,314.0452018
2007,1530.99627,4254,359.8956911
2008,1589.01438,4122,385.495968
2009,1175.94746,3691,318.5986074
2010,1155.57769,3506,329.6000257
2011,1299.5323,3678,353.3258021
2012,1040.71318,3172,328.0936885
2013,946.4309,2933,322.6835663
2014,919.2743,3107,295.8719987
2015,1178.82057,3245,363.2729029
2016,1096.05966,4039,271.3690666
2017,905.37363,3795,238.5701265
2018,846.46041,3118,271.4754362
2019,880.56965,2805,313.928574
2020,612.2381,1794,341.2698439
2021 incomplete,348.70207,1349,258.4893032
