Year,Catch (t),Effort (FisherDays),Effort ('000 net lifts),CPUE (kg.NL-1),CPUE (kg.FisherDay-1),state,total,Predicted_recruitment,lagged_Predicted_recruitment
1984,149.097,272,NA,NA,83.25,NA,NA,NA,NA
1985,292.276,815,NA,NA,95.07,NA,NA,NA,NA
1986,382.756,1189,NA,NA,94.39,NA,NA,NA,NA
1987,487.917,1462,NA,NA,142.7,NA,NA,NA,NA
1988,291,827,NA,NA,124.54,NA,NA,NA,NA
1989,208.614,483,NA,NA,137.16,NA,NA,NA,NA
1990,259.018,684,NA,NA,161.49,NA,NA,NA,NA
1991,325.875,1000,NA,NA,157.84,NA,NA,NA,NA
1992,329.917,696,NA,NA,177.21,NA,NA,NA,NA
1993,350.707,1370,NA,NA,140.04,NSW,1296,NA,NA
1994,443.583,1518,NA,NA,171.37,NSW,1997,1733.6666666666667,NA
1995,423.592,1337,NA,NA,188.95,NSW,1908,1886.6666666666667,NA
1996,378.325,1529,NA,NA,165.27,NSW,1755,1586.6666666666667,NA
1997,310.761,2462,NA,NA,126.22,NSW,1097,1922.3333333333333,NA
1998,267.467,1653,NA,NA,161.81,NSW,2915,2163.3333333333335,1733.6666666666667
1999,224.528,1535,NA,NA,146.27,NSW,2478,2549,1886.6666666666667
2000,241.928,1620,NA,NA,149.34,NSW,2254,1812.6666666666667,1586.6666666666667
2001,204.607,1678,NA,NA,121.94,NSW,706,1474,1922.3333333333333
2002,227.931,1718,NA,NA,132.67,NSW,1462,1013.6666666666666,2163.3333333333335
2003,220.223,1509,NA,NA,145.94,NSW,873,1183,2549
2004,118.405,949,NA,NA,124.77,NSW,1214,1101.3333333333333,1812.6666666666667
2005,133.38,1199,NA,NA,111.24,NSW,1217,1311.6666666666667,1474
2006,119.237,1117,NA,NA,106.75,NSW,1504,1531,1013.6666666666666
2007,114.101,1030,NA,NA,110.78,NSW,1872,1956.6666666666667,1183
2008,85.22,727,NA,NA,117.22,NSW,2494,1657,1101.3333333333333
2009,91.431,770,56,1.70446371,120.09,NSW,605,1435.3333333333333,1311.6666666666667
2010,82.471,695,46,1.685605952,119.03,NSW,1207,991.3333333333334,1531
2011,102.337,755,52,2.162832334,135.39,NSW,1162,1603,1956.6666666666667
2012,131.695,935,59,2.325991839,140.77,NSW,2440,1801.6666666666667,1657
2013,145.946,1002,71,2.099061898,145.53,NSW,1803,1728,1435.3333333333333
2014,78.539,694,42,2.147493539,113.25,NSW,941,1660.6666666666667,991.3333333333334
2015,143.622,951,59,2.716344511,160.18,NSW,2238,1509.3333333333333,1603
2016,140.158,723,42,3.325741097,201.68,NSW,1349,1638,1801.6666666666667
2017,140.244,714,45,2.97623131,204.12,NSW,1327,1202.6666666666667,1728
2018,111.716,673,53,1.954307584,174.43,NSW,932,NA,1660.6666666666667
2019,87.9,654,50,1.751514362,132.62,NA,NA,NA,1509.3333333333333
2020,NA,NA,NA,NA,NA,NA,NA,NA,1638
2021,NA,NA,NA,NA,NA,NA,NA,NA,1202.6666666666667
